0.5,8.93022428,15.07711091
0.6,9.050245083,15.85563792
0.7,9.087463527,16.69239721
0.8,9.056520012,17.27968034
0.9,9.023179133,17.50255084
1,8.936482736,17.71319442
1.1,8.891619936,17.81779177
1.2,8.872187862,17.92613809
1.3,8.839595245,18.03886601
1.4,8.832452755,18.08089131
1.5,8.789337065,18.19734437
1.6,8.739508807,18.28525176
1.7,8.687005887,18.43519856
1.8,8.677818832,18.45157358
1.9,8.671964723,18.45395274
2,8.612369061,18.52505692
2.1,8.599025739,18.53497915
2.2,8.568627078,18.5506014
2.3,8.57356756,18.55818483
2.4,8.555390147,18.56659872
2.5,8.526609459,18.62982171
2.6,8.491374847,18.63220665
2.7,8.451201687,18.65342708
2.8,8.452116518,18.65686112
2.9,8.457376221,18.65686112
3,8.425077527,18.66260258
